time_stamp,player_id,player_overlapped,starting_ball_distance_to_goal,min_ball_distance_to_goal,ball_progression_distance,value
15.66,443002,430360,85.62,10.61,75.01,0.9127182402684992
40.98,443002,474038,79.22,14.78,64.44,0.8076904238064011
34.27,443002,78103,50.76,2.35,48.41,0.804001062849218
14.31,119644,107091,48.0,2.37,45.64,0.7854185775655946
60.04,119644,169707,48.02,2.76,45.26,0.779582844347636
50.78,246099,106916,48.87,3.15,45.72,0.7794597776751617
71.44,427869,169707,80.52,17.35,63.16,0.7777934057719817
24.69,427869,107091,46.4,2.32,44.08,0.7754147575046442
22.32,443002,474038,39.76,0.1,39.66,0.7643685968072432
13.38,427869,41700,39.74,0.23,39.5,0.7622249732453921
42.07,119644,107091,76.3,17.11,59.19,0.7533155804661652
60.96,119644,442451,63.15,11.93,51.22,0.7431900935332783
32.71,427869,451375,68.07,14.57,53.5,0.7365341198538183
68.59,246099,430360,38.7,4.99,33.71,0.6840795551855869
64.92,119644,464785,65.85,17.38,48.46,0.679562411857094
32.85,246099,421184,79.02,25.18,53.84,0.6506485621144943
6.05,443002,78103,49.26,12.49,36.77,0.6422996176399307
30.4,246099,78103,27.08,3.52,23.56,0.6286729389792907
52.45,246099,194730,75.6,27.84,47.76,0.5880477465614882
53.49,246099,106916,52.81,18.99,33.82,0.5686022920413448
8.7,119644,107091,44.78,16.63,28.15,0.5503963934439109
7.81,443002,78103,53.67,22.54,31.12,0.5211443049601285
62.53,119644,107091,49.47,22.56,26.91,0.4929609472834722
66.49,443002,194730,27.68,16.37,11.31,0.4403156875271712
27.31,246099,45215,47.47,29.03,18.44,0.3826856096513842
28.37,443002,474038,27.71,20.4,7.31,0.3801715629425715
6.83,246099,489381,84.23,46.7,37.53,0.3632362393690061
71.95,246099,474038,25.58,25.58,0.0,0.2884950216044777
71.97,443002,45215,30.88,30.47,0.41,0.25054708461841296
93.39,227733,177947,35.95,33.82,2.13,0.23422284954590988
77.3,227733,45215,68.18,60.33,7.85,0.05235953138753501
